author, occurance
Anthony Doerr, 57
Paula Hawkins, 28
Stephen King, 25
Kristin Hannah, 25
Donna Tartt, 24
David Baldacci, 23
John Grisham, 20
Liane Moriarty, 18
Jan Karon, 15
Ken Follett, 15
Danielle Steel, 13
James Patterson and Maxine Paetro, 13
Anne Tyler, 13
Jodi Picoult, 12
Anita Diamant, 12
Jessica Knoll, 12
Stuart Woods, 11
John Sandford, 11
James Patterson, 11
Daniel Silva, 10
Mark Greaney, 10
Lee Child, 10
Elin Hilderbrand, 9
Anne Rice, 9
Michael Connelly, 9
Robert Galbraith, 8
Brad Thor, 8
Emily St John Mandel, 8
Judy Blume, 8
Diana Gabaldon, 7
Deborah Harkness, 7
Haruki Murakami, 7
Marilynne Robinson, 7
Patricia Cornwell, 7
Sara Gruen, 7
James Patterson and David Ellis, 6
Dean Koontz, 6
Debbie Macomber, 6
David Mitchell, 6
Tana French, 6
J D Robb, 6
Kazuo Ishiguro, 6
Ian Caldwell, 6
Harlan Coben, 6
Toni Morrison, 6
Nelson DeMille, 6
Janet Evanovich, 5
Sue Monk Kidd, 5
Catherine Coulter, 5
C J Box, 5
Douglas Preston and Lincoln Child, 5
Ian McEwan, 5
Sarah Waters, 5
James Patterson and Michael Ledwidge, 5
Jane Smiley, 5
Lisa Scottoline, 5
Neil Gaiman, 5
Richard Price writing as Harry Brandt, 5
James Patterson and Marshall Karp, 5
Nora Roberts, 5
Greg Iles, 5
Mary Higgins Clark, 5
Dorothea Benton Frank, 4
Paulo Coelho, 4
Patrick Rothfuss, 4
Richard Paul Evans, 4
Mary Higgins Clark and Alafair Burke, 4
Phil Klay, 4
Jeffrey Archer, 4
Clive Cussler and Justin Scott, 4
Steve Berry, 4
Neal Stephenson, 4
Kent Haruf, 4
Grant Blackwood, 4
Brad Meltzer, 4
James Patterson and Howard Roughan, 4
Nina George, 4
Jennifer Weiner, 3
Jacqueline Winspear, 3
James Rollins, 3
Sandra Brown, 3
Matthew Thomas, 3
Clive Cussler and Russell Blake, 3
Kathy Reichs, 3
Chuck Palahniuk, 3
Craig Johnson, 3
Clive Cussler and Dirk Cussler, 3
Alexander McCall Smith, 3
books.html:45 Object {response: ABYRINTH, 3
Tami Hoag, 3
Miranda July, 3
Sarah Addison Allen, 3
Lisa Gardner, 3
books.html:45 Object {response:  BY, 3
James Patterson and Peter De Jonge, 3
Lincoln Child, 3
Mary Kay Andrews, 3
Clive Cussler and Boyd Morrison, 3
Jeff Shaara, 3
Harper Lee, 3
Emma Straub, 2
Jojo Moyes, 2
Edan Lepucki, 2
James Lee Burke, 2
J A Jance, 2
Lev Grossman, 2
W E B Griffin and William E Butterworth IV, 2
Louise Penny, 2
Sophie Hannah, 2
John Darnielle, 2
Colm Toibin, 2
Janet Evanovich and Lee Goldberg, 2
Bernard Cornwell, 2
Nick Hornby, 2
Jonathan Kellerman, 2
Alex Berenson, 2
Allison Pataki, 2
Patricia Briggs, 2
Joseph Kanon, 2
Randy Wayne White, 2
Jo Nesbo, 2
Lisa Genova, 2
Kate Atkinson, 2
Janet Evanovich and Phoef Sutton, 2
Ernest Cline, 2
Don Winslow, 2
Ian Doescher, 1
Rainbow Rowell, 1
Anne Rivers Siddons, 1
Terry Brooks, 1
Julie Garwood, 1
Ilona Andrews, 1
Amy Bloom, 1
Terry Goodkind, 1
Robin Hobb, 1
William Kent Krueger, 1
Brent Weeks, 1
Susan Elizabeth Phillips, 1
Christine Feehan, 1
Sherrilyn Kenyon, 1
Kim Harrison, 1
Philippa Gregory, 1
Reed Farrel Coleman, 1
James Ellroy, 1
Richard Castle, 1
Jonathan Kellerman and Jesse Kellerman, 1
Deborah Crombie, 1
Catherine Coulter and JT Ellison, 1
Garth Stein, 1
Hilary Mantel, 1
Richard Flanagan, 1
Mary Oliver, 1
Wilbur Smith, 1
Sophie Kinsella, 1
William Gibson, 1
Richard Ford, 1
Tess Gerritsen, 1
Jack Higgins, 1
Brad Taylor, 1
Graeme Simsion, 1
Alan Bradley, 1
Pierce Brown, 1
Jayne Ann Krentz, 1
Joel C Rosenberg, 1
Karen Marie Moning, 1
Samantha Shannon, 1
Tim Johnston, 1
James Rollins and Rebecca Cantrell, 1
David Duchovny, 1
Laurie R King, 1
Joanne Fluke, 1
Laura Lippman, 1
Olen Steinhauer, 1
Jill Alexander Essbaum, 1
J R Ward, 1
T Coraghessan Boyle, 1
Peter V Brett, 1
Donna Leon, 1
Karen Kingsbury, 1
Philip Kerr, 1
Elizabeth Berg, 1
Amanda Quick, 1
AN Roquelaure, 1
Karl Ove Knausgaard, 1
Anne Hillerman, 1
Charlaine Harris, 1
Jeffery Deaver, 1
Clive Barker, 1
Ace Atkins, 1
Paolo Bacigalupi, 1
Jason Matthews, 1
Laurell K Hamilton, 1
Joseph Finder, 1
Paula Hawkins, 1
Anthony Doerr, 1
Paula Mclain, 1
C. J. Box, 1
Daniel Silva, 1
Brad Thor, 1
Kristin Hannah, 1
Ernest Cline, 1
Elin Hilderbrand, 1
Kathy Reichs, 1
Nina George, 1
J.R. Ward, 1
James Patterson and Howard Roughan, 1
