TITLE,OCCURANCE
 ALL THE LIGHT WE CANNOT SEE,58
 THE GIRL ON THE TRAIN,29
 THE NIGHTINGALE,26
 THE GOLDFINCH,24
 GRAY MOUNTAIN,20
 BIG LITTLE LIES,15
 SOMEWHERE SAFE WITH SOMEBODY GOOD,15
 EDGE OF ETERNITY,15
 THE ESCAPE,13
 A SPOOL OF BLUE THREAD,13
 LEAVING TIME,12
 THE BOSTON GIRL,12
 LUCKIEST GIRL ALIVE,12
 HOPE TO DIE,11
 PERSONAL,10
 REVIVAL,10
 MEMORY MAN,10
 PRINCE LESTAT,9
 THE BURNING ROOM,9
 FINDERS KEEPERS,9
 THE SILKWORM,8
 STATION ELEVEN,8
 IN THE UNLIKELY EVENT,8
 WRITTEN IN MY OWN HEART'S BLOOD,7
 THE BOOK OF LIFE,7
 COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,7
 LILA,7
 FLESH AND BLOOD,7
 AT THE WATER'S EDGE,7
 14TH DEADLY SIN,7
 THE RUMOR,7
 INVISIBLE,6
 MR MERCEDES,6
 THE HEIST,6
 THE BONE CLOCKS,6
 THE SECRET PLACE,6
 DEADLINE,6
 PRIVATE VEGAS,6
 THE BURIED GIANT,6
 THE FIFTH GOSPEL,6
 THE STRANGER,6
 GOD HELP THE CHILD,6
 RADIANT ANGEL,6
 TOP SECRET TWENTY-ONE,5
 THE INVENTION OF WINGS,5
 ACT OF WAR,5
 TOM CLANCY: SUPPORT AND DEFEND,5
 THE CHILDREN ACT,5
 THE PAYING GUESTS,5
 BURN,5
 TOM CLANCY: FULL FORCE AND EFFECT,5
 SAINT ODD,5
 TRIGGER WARNING,5
 THE WHITES,5
 NYPD RED 3,5
 THE LIAR,5
 THE BONE TREE,5
 GATHERING PREY,5
 TRUTH OR DIE,5
 THE ENGLISH SPY,5
 THE LITTLE PARIS BOOKSHOP,5
 A PERFECT LIFE,4
 THE LOST ISLAND,4
 ADULTERY,4
 SOME LUCK,4
 THE SLOW REGARD OF SILENT THINGS,4
 THE MISTLETOE PROMISE,4
 THE CINDERELLA MURDER,4
 REDEPLOYMENT,4
 INSATIABLE APPETITES,4
 MIGHTIER THAN THE SWORD,4
 PRODIGAL SON,4
 THE ASSASSIN,4
 ENDANGERED,4
 THE PATRIOT THREAT,4
 EVERY FIFTEEN MINUTES,4
 SEVENEVES,4
 OUR SOULS AT NIGHT,4
 TOM CLANCY UNDER FIRE,4
 THE PRESIDENT'S SHADOW,4
 CODE OF CONDUCT,4
 ALL FALL DOWN,3
 THE HUSBAND'S SECRET,3
 THE 6TH EXTINCTION,3
