Title,Author,Publisher,Week on besteller list,,,,,,,,,,,,,,,,,,,,,,,,,
INVISIBLE, by James Patterson and David Ellis, Little Brown,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SILKWORM, by Robert Galbraith, Mulholland/Little Brown,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOP SECRET TWENTY-ONE, by Janet Evanovich, Bantam,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
MR MERCEDES, by Stephen King, Scribner,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CITY, by Dean Koontz, Bantam,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
WRITTEN IN MY OWN HEART'S BLOOD, by Diana Gabaldon, Delacorte,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL FALL DOWN, by Jennifer Weiner, Atria,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE VACATIONERS, by Emma Straub, Riverhead,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
ONE PLUS ONE, by Jojo Moyes, Pamela Dorman/Viking,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAM SHAKESPEARE'S THE JEDI DOTH RETURN, by Ian Doescher, Quirk Books,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HURRICANE SISTERS, by Dorothea Benton Frank, Morrow/HarperCollins,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE MATCHMAKER, by Elin Hilderbrand, Little Brown,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE INVENTION OF WINGS, by Sue Monk Kidd, Viking,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE CARE AND MANAGEMENT OF LIES, by Jacqueline Winspear, Harper,7/20/14,,,,,,,,,,,,,,,,,,,,,,,,,
ACT OF WAR, by Brad Thor, Emily Bestler/Atria,7/27/14,,,,,,,,,,,,,,,,,,,,,,,,,
POWER PLAY, by Catherine Coulter, Putnam,7/27/14,,,,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA, by Edan Lepucki, Little Brown,7/27/14,,,,,,,,,,,,,,,,,,,,,,,,,
